ID,name,Age,position,Squad,12. MP_Pct,11. Aerial Duels_Won%_Pct,10. TklW90_Pct,9. Blocks90_Pct,8. Passing%_Pct,6. TB90_Pct,7. Crs90_Pct,5. Dribbles_Succ%_Pct,3. SCA90_Pct,2. GCA90_Pct,4. Ast90_Pct,1. Gls90_Pct
2019_Bryan Acosta_FC Dallas,Bryan Acosta,25,MF,FC Dallas,0.7734584450402144,0.8747826086956522,0.8811475409836066,0.37521222410865873,0.7445193929173693,0.8673469387755102,0.48356164383561645,0.5658844765342961,0.680672268907563,0.3764705882352941,0.5242261103633916,0.613941018766756
2019_Brandon Vazquez_Atlanta,Brandon Vazquez,20,FW,Atlanta,0.4014745308310992,0.6452173913043479,0.08196721311475409,0.11714770797962648,0.2630691399662732,0.7363945578231292,0.6013698630136987,0.4891696750902527,0.5932773109243697,0.8067226890756303,0.7409152086137282,0.8176943699731903
2019_Jacori Hayes_FC Dallas,Jacori Hayes,23,MF,FC Dallas,0.6072386058981233,0.49217391304347824,0.8565573770491803,0.3904923599320883,0.8381112984822934,0.22874149659863946,0.3219178082191781,0.825812274368231,0.46218487394957986,0.561344537815126,0.8438761776581427,0.2479892761394102
2019_Greg Garza_FC Cincinnati,Greg Garza,27,"DF (FB, left)",FC Cincinnati,0.4497319034852547,0.5095652173913043,0.4733606557377049,0.5195246179966044,0.6854974704890388,0.6479591836734694,0.7006849315068493,0.07220216606498195,0.507563025210084,0.1495798319327731,0.24629878869448182,0.2479892761394102
2019_Walker Zimmerman_Los Angeles FC,Walker Zimmerman,25,"DF (CB, right)",Los Angeles FC,0.7459785522788204,0.8826086956521739,0.5737704918032787,0.4363327674023769,0.8237774030354131,0.608843537414966,0.20684931506849316,0.3898916967509025,0.2184873949579832,0.31176470588235294,0.24629878869448182,0.5234584450402144
2019_Juan Agudelo_New England,Juan Agudelo,26,FW-MF,New England,0.8324396782841823,0.4852173913043478,0.7991803278688525,0.6876061120543294,0.45446880269814505,0.8775510204081632,0.4246575342465753,0.37545126353790614,0.7596638655462185,0.7605042016806722,0.5477792732166891,0.6695710455764075
2019_Luis Díaz_Columbus,Luis Díaz,20,MF,Columbus,0.4497319034852547,0.07391304347826087,0.12295081967213115,0.11884550084889643,0.0699831365935919,0.8324829931972789,0.9547945205479452,0.5568592057761733,0.7798319327731092,0.946218487394958,0.9414535666218035,0.7801608579088471
2019_Jonathan dos Santos_LA Galaxy,Jonathan dos Santos,28,MF (DM),LA Galaxy,0.863941018766756,0.8617391304347826,0.9180327868852459,0.629881154499151,0.9283305227655987,0.5637755102040817,0.5287671232876713,0.8140794223826715,0.7176470588235294,0.561344537815126,0.6864064602960969,0.5837801608579088
2019_Ballou Tabla_Montreal,Ballou Tabla,19,MF,Montreal,0.18029490616621985,0.5547826086956522,0.9282786885245902,0.5449915110356537,0.3406408094435076,0.22874149659863946,0.8780821917808219,0.1092057761732852,0.5840336134453782,0.1495798319327731,0.24629878869448182,0.2479892761394102
2019_Saad Abdul-Salaam_Seattle,Saad Abdul-Salaam,27,"DF (FB, right)",Seattle,0.5844504021447721,0.7486956521739131,0.38524590163934425,0.7453310696095077,0.47807757166947723,0.6130952380952381,0.47534246575342465,0.8402527075812274,0.3058823529411765,0.1495798319327731,0.24629878869448182,0.2479892761394102
